family,method,swap_fraction,gamma_label,config_label,checkpoint,checkpoint_millions,cross_scenario_rrmse
hep,mcmc_is_no_oracle,0.05,0.4,"MCMC–IS: 5%, \gamma=0.4",4750000,4.75,0.042617377595121866
hep,mcmc_is_no_oracle,0.05,0.4,"MCMC–IS: 5%, \gamma=0.4",5000000,5.0,0.04334650408319063
hep,mcmc_is_no_oracle,0.1,0.4,"MCMC–IS: 10%, \gamma=0.4",500000,0.5,0.15419454473265523
hep,mcmc_is_no_oracle,0.1,0.4,"MCMC–IS: 10%, \gamma=0.4",750000,0.75,0.1192001580036959
hep,mcmc_is_no_oracle,0.1,0.4,"MCMC–IS: 10%, \gamma=0.4",1000000,1.0,0.09432725674323938
hep,mcmc_is_no_oracle,0.1,0.4,"MCMC–IS: 10%, \gamma=0.4",1250000,1.25,0.08428225578969414
hep,mcmc_is_no_oracle,0.1,0.4,"MCMC–IS: 10%, \gamma=0.4",1500000,1.5,0.08544363674870645
hep,mcmc_is_no_oracle,0.1,0.4,"MCMC–IS: 10%, \gamma=0.4",1750000,1.75,0.07931489809892742
hep,mcmc_is_no_oracle,0.1,0.4,"MCMC–IS: 10%, \gamma=0.4",2000000,2.0,0.07776301062139826
hep,mcmc_is_no_oracle,0.1,0.4,"MCMC–IS: 10%, \gamma=0.4",2250000,2.25,0.07572001454519053
hep,mcmc_is_no_oracle,0.1,0.4,"MCMC–IS: 10%, \gamma=0.4",2500000,2.5,0.06957668470511992
hep,mcmc_is_no_oracle,0.1,0.4,"MCMC–IS: 10%, \gamma=0.4",2750000,2.75,0.06669687541224181
hep,mcmc_is_no_oracle,0.1,0.4,"MCMC–IS: 10%, \gamma=0.4",3000000,3.0,0.06198234170249184
hep,mcmc_is_no_oracle,0.1,0.4,"MCMC–IS: 10%, \gamma=0.4",3250000,3.25,0.06130894890127675
hep,mcmc_is_no_oracle,0.1,0.4,"MCMC–IS: 10%, \gamma=0.4",3500000,3.5,0.06167226602818141
hep,mcmc_is_no_oracle,0.1,0.4,"MCMC–IS: 10%, \gamma=0.4",3750000,3.75,0.05541129384153809
hep,mcmc_is_no_oracle,0.1,0.4,"MCMC–IS: 10%, \gamma=0.4",4000000,4.0,0.05397263050354863
hep,mcmc_is_no_oracle,0.1,0.4,"MCMC–IS: 10%, \gamma=0.4",4250000,4.25,0.0552027308032885
hep,mcmc_is_no_oracle,0.1,0.4,"MCMC–IS: 10%, \gamma=0.4",4500000,4.5,0.05253047907509494
hep,mcmc_is_no_oracle,0.1,0.4,"MCMC–IS: 10%, \gamma=0.4",4750000,4.75,0.04939623953235119
hep,mcmc_is_no_oracle,0.1,0.4,"MCMC–IS: 10%, \gamma=0.4",5000000,5.0,0.048357399798048685
hep,mcmc_is_no_oracle,0.025,0.4,"MCMC–IS: 2.5%, \gamma=0.4",500000,0.5,0.17917048920867118
hep,mcmc_is_no_oracle,0.025,0.4,"MCMC–IS: 2.5%, \gamma=0.4",750000,0.75,0.13316922662062758
hep,mcmc_is_no_oracle,0.025,0.4,"MCMC–IS: 2.5%, \gamma=0.4",1000000,1.0,0.10460623786104419
hep,mcmc_is_no_oracle,0.025,0.4,"MCMC–IS: 2.5%, \gamma=0.4",1250000,1.25,0.10125928021817229
hep,mcmc_is_no_oracle,0.025,0.4,"MCMC–IS: 2.5%, \gamma=0.4",1500000,1.5,0.09379483320017377
hep,mcmc_is_no_oracle,0.025,0.4,"MCMC–IS: 2.5%, \gamma=0.4",1750000,1.75,0.08082163808014019
hep,mcmc_is_no_oracle,0.025,0.4,"MCMC–IS: 2.5%, \gamma=0.4",2000000,2.0,0.07621891734253136
hep,mcmc_is_no_oracle,0.025,0.4,"MCMC–IS: 2.5%, \gamma=0.4",2250000,2.25,0.06801045871707613
hep,mcmc_is_no_oracle,0.025,0.4,"MCMC–IS: 2.5%, \gamma=0.4",2500000,2.5,0.07274834991974201
hep,mcmc_is_no_oracle,0.025,0.4,"MCMC–IS: 2.5%, \gamma=0.4",2750000,2.75,0.0681613527577414
hep,mcmc_is_no_oracle,0.025,0.4,"MCMC–IS: 2.5%, \gamma=0.4",3000000,3.0,0.06655868077409242
hep,mcmc_is_no_oracle,0.025,0.4,"MCMC–IS: 2.5%, \gamma=0.4",3250000,3.25,0.064787726448249
hep,mcmc_is_no_oracle,0.025,0.4,"MCMC–IS: 2.5%, \gamma=0.4",3500000,3.5,0.06182246484278958
hep,mcmc_is_no_oracle,0.025,0.4,"MCMC–IS: 2.5%, \gamma=0.4",3750000,3.75,0.06058156506361831
hep,mcmc_is_no_oracle,0.025,0.4,"MCMC–IS: 2.5%, \gamma=0.4",4000000,4.0,0.056772675458136045
hep,mcmc_is_no_oracle,0.025,0.4,"MCMC–IS: 2.5%, \gamma=0.4",4250000,4.25,0.054710944434081976
hep,mcmc_is_no_oracle,0.025,0.4,"MCMC–IS: 2.5%, \gamma=0.4",4500000,4.5,0.05302751780426093
hep,mcmc_is_no_oracle,0.025,0.4,"MCMC–IS: 2.5%, \gamma=0.4",4750000,4.75,0.0509871496926388
hep,mcmc_is_no_oracle,0.025,0.4,"MCMC–IS: 2.5%, \gamma=0.4",5000000,5.0,0.045834532766307744
hep,mcmc_is_no_oracle,0.1,0.333333333333,"MCMC–IS: 10%, \gamma=1/3",500000,0.5,0.1718132931538262
hep,mcmc_is_no_oracle,0.1,0.333333333333,"MCMC–IS: 10%, \gamma=1/3",750000,0.75,0.1415139570202172
hep,mcmc_is_no_oracle,0.1,0.333333333333,"MCMC–IS: 10%, \gamma=1/3",1000000,1.0,0.12529135236843125
hep,mcmc_is_no_oracle,0.1,0.333333333333,"MCMC–IS: 10%, \gamma=1/3",1250000,1.25,0.11410045053043043
hep,mcmc_is_no_oracle,0.1,0.333333333333,"MCMC–IS: 10%, \gamma=1/3",1500000,1.5,0.10178720667298916
hep,mcmc_is_no_oracle,0.1,0.333333333333,"MCMC–IS: 10%, \gamma=1/3",1750000,1.75,0.08693557507109546
hep,mcmc_is_no_oracle,0.1,0.333333333333,"MCMC–IS: 10%, \gamma=1/3",2000000,2.0,0.08367578734923539
hep,mcmc_is_no_oracle,0.1,0.333333333333,"MCMC–IS: 10%, \gamma=1/3",2250000,2.25,0.07587272697487682
hep,mcmc_is_no_oracle,0.1,0.333333333333,"MCMC–IS: 10%, \gamma=1/3",2500000,2.5,0.07102794526066865
hep,mcmc_is_no_oracle,0.1,0.333333333333,"MCMC–IS: 10%, \gamma=1/3",2750000,2.75,0.06951877451791107
hep,mcmc_is_no_oracle,0.1,0.333333333333,"MCMC–IS: 10%, \gamma=1/3",3000000,3.0,0.0658723238393063
hep,mcmc_is_no_oracle,0.1,0.333333333333,"MCMC–IS: 10%, \gamma=1/3",3250000,3.25,0.05801690461187283
hep,mcmc_is_no_oracle,0.1,0.333333333333,"MCMC–IS: 10%, \gamma=1/3",3500000,3.5,0.05626923445898817
hep,mcmc_is_no_oracle,0.1,0.333333333333,"MCMC–IS: 10%, \gamma=1/3",3750000,3.75,0.057592935365546626
hep,mcmc_is_no_oracle,0.1,0.333333333333,"MCMC–IS: 10%, \gamma=1/3",4000000,4.0,0.05664878390521848
hep,mcmc_is_no_oracle,0.1,0.333333333333,"MCMC–IS: 10%, \gamma=1/3",4250000,4.25,0.05381146130553002
