checkpoint,checkpoint_millions,family,method,display_method,config_label,n_scenarios,n_bootstrap,bootstrap_seed,observed_rrmse,bootstrap_mean_rrmse,bootstrap_median_rrmse,percentile_ci95_low,percentile_ci95_high,bias_correction_z0,acceleration,bca_alpha_low,bca_alpha_high,bca_ci95_low,bca_ci95_high
4000000,4.0,gwas,samc,SAMC,5%,80,1000000,20260729,0.13319382290744955,0.1328601193975576,0.13280079611250778,0.1146125564250573,0.15146977922702737,0.04191557532011836,0.04152405218581637,0.041402392405096584,0.9869691355414815,0.1166526639257317,0.15402092899470654
4000000,4.0,hep,mcmc_is_no_oracle,Smooth MCMC-IS,"5%, gamma=0.4",80,1000000,20260729,0.04683586488141355,0.0467495378828518,0.04678829031191159,0.04107758431359543,0.05222042795787783,0.016699933767717924,0.017520925178217402,0.03126077190483856,0.9805042967168678,0.041361958794888035,0.05250007127474217
4000000,4.0,hep,samc,SAMC,5%,80,1000000,20260729,0.07215990161775565,0.07195698014753414,0.07189053145510853,0.061617643074850806,0.08268481975837731,0.049752022246168245,0.049981649369446095,0.04513487348138104,0.9888108311219672,0.06295847042832496,0.0844750424590095
4250000,4.25,gwas,mcmc_is_no_oracle,Smooth MCMC-IS,"5%, gamma=0.4",80,1000000,20260729,0.07373724936422772,0.07350055037332417,0.07349420486471098,0.06197746979910894,0.08508367916906301,0.04130342832032833,0.042008113075796924,0.041436970215334774,0.9870015770745115,0.06328961643636931,0.08664230919346787
4250000,4.25,gwas,samc,SAMC,5%,80,1000000,20260729,0.13000926413711852,0.1295262129806587,0.1294101369289562,0.10752229588737201,0.15225286942244282,0.052721259435649995,0.05519276929264042,0.047175967699409196,0.9897461554742865,0.11063311433652656,0.15642528804272865
4250000,4.25,hep,mcmc_is_no_oracle,Smooth MCMC-IS,"5%, gamma=0.4",80,1000000,20260729,0.04458728123908809,0.04451057528735315,0.04451648757241155,0.03931866995530372,0.04966627002678451,0.02713256650687502,0.027701616233023342,0.035344547789306915,0.9834134554088404,0.03972238772745537,0.050099375638953704
4250000,4.25,hep,samc,SAMC,5%,80,1000000,20260729,0.0727422966108118,0.07250152750151144,0.07252191053769733,0.06090680977426452,0.08393871269288515,0.03718186280107223,0.03638467397919836,0.03921422260891857,0.9857677029631106,0.06210690571468994,0.08528734570868887
4500000,4.5,gwas,mcmc_is_no_oracle,Smooth MCMC-IS,"5%, gamma=0.4",80,1000000,20260729,0.07139356004402557,0.07112782038828015,0.0710865975806785,0.05947034768118721,0.08300745872656255,0.050833746262779186,0.04920337435072959,0.045098397140980316,0.988767729780053,0.061012003778374915,0.08499851774980959
4500000,4.5,gwas,samc,SAMC,5%,80,1000000,20260729,0.10795707743153869,0.10770414729463704,0.10764501131240946,0.09372877197082441,0.12203892108447713,0.042999415233551976,0.04299067491385866,0.041992931433587725,0.9872810221384064,0.0953415524406892,0.12405681976747199
4500000,4.5,hep,mcmc_is_no_oracle,Smooth MCMC-IS,"5%, gamma=0.4",80,1000000,20260729,0.04284564759607587,0.04277215851560296,0.0427867193366778,0.03774070387138731,0.04772397206464569,0.0232911889602772,0.023875457712909196,0.033790569079291406,0.9823597188188791,0.0380806622307293,0.04807853769964507
4500000,4.5,hep,samc,SAMC,5%,80,1000000,20260729,0.06252752610059645,0.06229640927651388,0.062320791534457576,0.05157106948284675,0.07290953463487708,0.03794692403577976,0.03976240603988891,0.04026573546913558,0.9863873502284458,0.05273707143152953,0.07423957997261979
4750000,4.75,gwas,mcmc_is_no_oracle,Smooth MCMC-IS,"5%, gamma=0.4",80,1000000,20260729,0.06938915785323153,0.06920463542254762,0.06919688440589546,0.05907161146189162,0.07938868298778914,0.03680561118868077,0.03942459542108923,0.039988824446658085,0.9862447243197903,0.06014437421584393,0.08064224493068656
4750000,4.75,gwas,samc,SAMC,5%,80,1000000,20260729,0.10927535518153303,0.10881942464849559,0.10844751274446979,0.09052306120765441,0.12927316368376013,0.08297929880208421,0.08147212760487776,0.06116771473751749,0.9943592014396718,0.09398502523551996,0.13567652385552273
4750000,4.75,hep,mcmc_is_no_oracle,Smooth MCMC-IS,"5%, gamma=0.4",80,1000000,20260729,0.04261737759512186,0.042540059479367225,0.042540886211848684,0.037513141746758454,0.04755768889356562,0.02994865770197072,0.03028689177342799,0.03644812788579255,0.9841225089415488,0.03794193319826216,0.048039478789848974
4750000,4.75,hep,samc,SAMC,5%,80,1000000,20260729,0.05601809296670227,0.055869076060622844,0.05584507894371907,0.04788073257644747,0.06400427794253614,0.04230946508169058,0.0436618895922998,0.042066966912908246,0.9873371012900379,0.04880818579237685,0.06515756549878704
5000000,5.0,gwas,mcmc_is_no_oracle,Smooth MCMC-IS,"5%, gamma=0.4",80,1000000,20260729,0.0683725656538934,0.06817460424824642,0.06812939795783349,0.05808639574771869,0.07850682777220734,0.04576946085337719,0.04694766955622109,0.04357872194180813,0.9880895404647349,0.05934043230459487,0.08010505115330446
5000000,5.0,gwas,samc,SAMC,5%,80,1000000,20260729,0.10952849031274654,0.10908687377677644,0.1090868491254174,0.08968474486178353,0.1285295688679969,0.04429406810779128,0.04626987606572465,0.043135922319609096,0.9878836368380601,0.09207931896815187,0.13142083827659348
5000000,5.0,hep,mcmc_is_no_oracle,Smooth MCMC-IS,"5%, gamma=0.4",80,1000000,20260729,0.04334650408319064,0.04326065031539935,0.043253766345230094,0.037861277539387936,0.04870938240320073,0.03318382098630793,0.03555078202163472,0.038357265860780025,0.9853093540871729,0.03838290085716108,0.04932720850532137
5000000,5.0,hep,samc,SAMC,5%,80,1000000,20260729,0.05936482025170443,0.05922105321623326,0.05919522269655172,0.051254457806353654,0.0673543917276508,0.04099986937452981,0.04197801170079292,0.041378613768608775,0.98697447257619,0.05214722623251523,0.06847793160355724
