threshold_band,p_half,checkpoint,budget_millions,n_scenarios,n_bootstrap,bootstrap_seed,bootstrap_pairing,observed_rrmse,bca_ci95_low,bca_ci95_high,percentile_ci95_low,percentile_ci95_high,bootstrap_mean_rrmse,bootstrap_median_rrmse,bca_bias_correction_z0,bca_acceleration,bca_alpha_low,bca_alpha_high
non_significant,Higher p-value half,2000000,2.0,40,1000000,20280806,same resampled scenario rows at every checkpoint within curve,0.07999578841317391,0.06490168796716649,0.1027658761144756,0.06167491343514025,0.09797823616445285,0.07945764096202478,0.07932806131666202,0.07144197966993593,0.07335947499122361,0.05622471568655858,0.9930257548161291
non_significant,Higher p-value half,2250000,2.25,40,1000000,20280806,same resampled scenario rows at every checkpoint within curve,0.07602301181547308,0.06092510301327671,0.10701182319926766,0.05666010231632661,0.09700667515542544,0.07530295196723581,0.07483099253422684,0.11189078906796682,0.11369888576907308,0.07849231454408567,0.9976152925173837
non_significant,Higher p-value half,2500000,2.5,40,1000000,20280806,same resampled scenario rows at every checkpoint within curve,0.08025295136329044,0.06255377001696844,0.11457720181395589,0.057571210978686595,0.10392023293695132,0.07935755380107097,0.0789233875818118,0.10789876095446979,0.10998892214641368,0.07625290787794804,0.997319837319651
non_significant,Higher p-value half,2750000,2.75,40,1000000,20280806,same resampled scenario rows at every checkpoint within curve,0.07466173455765455,0.06062364705039965,0.09202216160066463,0.058575555856716935,0.08967829668515423,0.07424132305243702,0.07428142788357794,0.04758623811235042,0.04784107275350831,0.04414447515567424,0.9883486207767306
non_significant,Higher p-value half,3000000,3.0,40,1000000,20280806,same resampled scenario rows at every checkpoint within curve,0.08261976017805468,0.06437546905394304,0.11513303413218634,0.059427032623696974,0.1060081730628567,0.0817514937642117,0.08142729643024355,0.09792229023333443,0.09864178479970194,0.0700821172730375,0.9963182537982664
non_significant,Higher p-value half,3250000,3.25,40,1000000,20280806,same resampled scenario rows at every checkpoint within curve,0.07382259259822685,0.05623491965631672,0.10990788675964885,0.05115875013560234,0.09778065866466974,0.07282202988523448,0.07234235923488841,0.12098868173802463,0.11919371833274622,0.08266536027322957,0.9980636395663709
non_significant,Higher p-value half,3500000,3.5,40,1000000,20280806,same resampled scenario rows at every checkpoint within curve,0.06997491110392841,0.05365412367524316,0.10244091865895527,0.04894876079163193,0.09193611861476451,0.06908510300737061,0.06867017719258686,0.11549346498924427,0.11444701674359559,0.0796417850536002,0.9977266657028849
non_significant,Higher p-value half,3750000,3.75,40,1000000,20280806,same resampled scenario rows at every checkpoint within curve,0.07754165401320698,0.05889560907785192,0.10685762988463086,0.05438816317262351,0.09977113855361332,0.07666859543521647,0.0765367133803797,0.08474766632447417,0.08525782482983903,0.06276248279598468,0.9947839533447319
non_significant,Higher p-value half,4000000,4.0,40,1000000,20280806,same resampled scenario rows at every checkpoint within curve,0.07382527129072197,0.05718836460500036,0.0996644445688567,0.05329137799970968,0.09366469679844457,0.07310085595278416,0.0729714112555048,0.0811281990489527,0.0813622937496483,0.06074136061547346,0.9942753872647822
non_significant,Higher p-value half,4250000,4.25,40,1000000,20280806,same resampled scenario rows at every checkpoint within curve,0.07185669189219177,0.05754847933181146,0.09402913511729181,0.05439641872595814,0.08913963583129628,0.07130802461623037,0.0711486861910845,0.07785172583950134,0.07762648626519698,0.05886954441054882,0.9937657919732359
non_significant,Higher p-value half,4500000,4.5,40,1000000,20280806,same resampled scenario rows at every checkpoint within curve,0.0675421745996833,0.05469858673557128,0.08534363461613989,0.05233039935910973,0.08217095114786467,0.067114333562648,0.06705828396973357,0.06279970598327811,0.062299689200732915,0.051146782500191335,0.9912781858422167
non_significant,Higher p-value half,4750000,4.75,40,1000000,20280806,same resampled scenario rows at every checkpoint within curve,0.0665968525579503,0.05480427393662612,0.08207824712362052,0.05292307931125995,0.07970382372604991,0.06625037760036896,0.06623165495692468,0.05281413389308268,0.05385898776280887,0.046801916669561454,0.9895647736338339
non_significant,Higher p-value half,5000000,5.0,40,1000000,20280806,same resampled scenario rows at every checkpoint within curve,0.0649841709562155,0.05487481510688877,0.07888578311973925,0.05318681861900628,0.07660267380864753,0.06471236210466082,0.06464440914598629,0.05655209008278485,0.05662793061977178,0.048290471895847155,0.9901764703388315
